From Number,From Name,To Number,To Name,Circuit,Status,Branch Device Type,Xfrmr,MW From ,Mvar From ,MVA From ,Lim MVA,% of MVA Limit (Max),MW Loss,Mvar Loss
74279,IDAHO FALLS 9 1,74280,IDAHO FALLS 9 2,1,Closed,Transformer,YES,-99.7,-14.6,100.8,155.6,66.4,0.4,10.88
21113,SAN FRANCISCO 15 1,21182,OAKLAND 1 2,1,Closed,Line,NO,-153.4,-88,176.8,266.9,66.4,0.1,0.37
40125,YOUNGTOWN 1,40137,PHOENIX 3 1,1,Closed,Line,NO,117.7,48.8,127.4,192.1,66.3,0.29,0.07
77247,BILLINGS 9 1,77248,BILLINGS 9 2,1,Closed,Transformer,YES,-67.5,13.7,68.9,103.9,66.3,0.2,5.38
53262,LA MESA 5 1,53264,LA MESA 5 3,1,Closed,Transformer,YES,-15,1,15,22.8,66.1,0.04,0.99
10805,ROCKPORT 2 1,10806,ROCKPORT 2 2,1,Closed,Transformer,YES,-77.5,11,78.3,118.6,66,0.24,6.53
21299,SANTA CRUZ 1 2,21301,SANTA CRUZ 1 4,1,Closed,TransformerWinding,YES,-344.4,-4.6,344.5,522.5,65.9,0,0.17
50203,LOGAN 2 1,50207,LOGAN 2 5,1,Closed,TransformerWinding,YES,553.9,-9.8,554,847.8,65.9,1.08,71.26
40170,GLENDALE 21 1,40110,SURPRISE 6 1,1,Closed,Line,NO,-143.9,-58,155.2,235.5,65.9,0.08,-0.21
40795,PHOENIX 73 2,40794,PHOENIX 73 1,1,Closed,Transformer,YES,-1021.5,-120.6,1028.6,1585.6,65.8,1.25,83.57
30174,NORTH LAS VEGAS 5 2,30173,NORTH LAS VEGAS 5 1,1,Closed,Transformer,YES,-164.5,-224.2,278.1,460.4,65.8,0.56,29.49
25347,NORTH HOLLYWOOD 4 1,25490,LOS ANGELES 54 2,1,Closed,Line,NO,-119.8,-129.1,176.1,270.1,65.7,0.41,1.39
60058,DURANGO 3 3,60057,DURANGO 3 2,1,Closed,Transformer,YES,-62.7,-56.8,84.6,137.6,65.6,0.24,7.95
40271,PHOENIX 60 1,40299,PHOENIX 68 2,1,Closed,Line,NO,-92.7,-76.7,120.4,186.2,65.5,0.42,1.9
28819,IRVINE 9 1,28820,IRVINE 9 2,1,Closed,Transformer,YES,-19.8,-8.4,21.5,34.3,65.2,0.07,1.82
40202,PHOENIX 24 2,40204,PHOENIX 24 4,1,Closed,TransformerWinding,YES,-60.7,-43.4,74.6,120,65.2,0.19,5.63
10434,BONNEY LAKE 2 1,10433,BONNEY LAKE 1 2,1,Closed,Line,NO,-178.2,-18.8,179.2,276.8,65.1,0.77,3.37
20331,YUBA CITY 5 1,20332,YUBA CITY 5 2,1,Closed,Transformer,YES,-65.5,12.7,66.8,102.5,65.1,0.18,5.42
29021,CALEXICO 5 1,29022,CALEXICO 5 2,1,Closed,Transformer,YES,-108.7,8.2,109,167.6,65.1,0.27,8.24
21182,OAKLAND 1 2,21181,OAKLAND 1 1,1,Closed,Transformer,YES,-236.3,-192.1,304.5,500.6,65.1,0.75,31.31
25097,OXNARD 5 1,25893,OXNARD 11 3,1,Closed,Line,NO,-120.9,-108.5,162.4,250.4,65,0.37,0.04
20254,EL DORADO HILLS 2 1,20539,POLLOCK PINES 6 1,1,Closed,Line,NO,-177.4,-27.8,179.6,279.4,65,2.13,-0.79
21293,HAYWARD 1 1,21729,HAYWARD 8 3,1,Closed,Line,NO,-167.5,-47.3,174,269.7,65,0.62,2.09
50384,DELTA 2 2,50401,MONA 2 2,1,Closed,Line,NO,210,-25.7,211.6,326.1,64.9,3.08,-5.93
10154,LAKEWOOD 1 1,10184,LAKEWOOD 5 1,1,Closed,Line,NO,165.7,64.8,178,274.4,64.9,0.98,5.5
21161,RICHMOND 3 2,21165,RICHMOND 4 1,1,Closed,Line,NO,192.1,-38.6,196,302.2,64.9,0.54,1.99
25465,LOS ANGELES 46 1,25937,EL SEGUNDO 2 1,1,Closed,Line,NO,-175.2,2.5,175.3,271.8,64.8,0.84,0.53
60778,LIMON 5 1,60780,LIMON 5 3,1,Closed,Transformer,YES,-175.3,44.5,180.8,279.3,64.7,0.43,15.7
53221,FARMINGTON 5 1,53223,FARMINGTON 5 3,1,Closed,Transformer,YES,-15.6,1.5,15.6,24.2,64.7,0.02,0.63
10108,COUPEVILLE 2,10186,CAMANO ISLAND 1,1,Closed,Line,NO,-159.5,12.4,160,249.3,64.5,1.15,4.54
21055,GREENBRAE 1,21044,FAIRFAX 1,1,Closed,Line,NO,-53.5,-96.1,110,171.4,64.5,0.15,0.51
60264,LITTLETON 3 1,60267,LITTLETON 3 4,1,Closed,TransformerWinding,YES,215.2,45.4,219.9,341.4,64.4,0.7,30.57
26221,SANTA CLARITA 5 2,26225,SANTA CLARITA 5 6,1,Closed,Transformer,YES,-10.6,-4.4,11.5,18.4,64.4,0.03,0.93
13289,PORTLAND 23 3,13297,PORTLAND 29 1,1,Closed,Line,NO,59.4,135.5,147.9,230,64.3,0.22,0.97
26209,MOJAVE 15 1,26210,MOJAVE 15 2,1,Closed,Transformer,YES,-83,19.3,85.2,132.6,64.2,0.13,4.61
23402,LATHROP 2 1,23403,LATHROP 2 2,1,Closed,Transformer,YES,-45.7,-20.3,50,80.1,64.2,0.09,3.1
40940,TEMPE 10 2,40942,TEMPE 10 4,1,Closed,TransformerWinding,YES,-685.1,-13.8,685.3,1070.5,64.2,-1.06,-79.53
40116,EL MIRAGE 2 1,40125,YOUNGTOWN 1,1,Closed,Line,NO,110.7,51.9,122.3,190.6,64.2,0.51,1.14
40103,GOODYEAR 4 1,40781,BUCKEYE 4 5,1,Closed,Line,NO,-120.5,9.6,120.9,193.2,64.1,3.4,7.74
28983,RANCHO CUCAMONGA 9 1,28984,RANCHO CUCAMONGA 9 2,1,Closed,Transformer,YES,-49.4,-20.9,53.7,86.9,64.1,0.15,4.44
60589,CALHAN 1,60650,LIMON 2 3,1,Closed,Line,NO,-121.2,23.1,123.4,197.2,64,3.51,3.59
29082,SUN CITY 4 3,29081,SUN CITY 4 2,1,Closed,Transformer,YES,-302,-147,335.9,544.1,64,0.52,24.97
60511,AURORA 14 2,60495,AURORA 13 1,1,Closed,Line,NO,-108.5,-54.7,121.5,193.3,63.9,0.73,3.12
40346,MESA 3 1,40313,TEMPE 5 1,1,Closed,Line,NO,-126.2,-16.1,127.3,200,63.9,0.39,0.94
10361,PUYALLUP 5 1,10286,PUYALLUP 1 1,1,Closed,Line,NO,-178.9,-66.5,190.8,300,63.8,0.21,0.72
80007,EL PASO 3 2,80011,EL PASO 6 1,1,Closed,Line,NO,109.4,72.3,131.2,205.7,63.7,0.24,1.06
20459,YUBA CITY 9 1,20460,YUBA CITY 9 2,1,Closed,Transformer,YES,-47,-21.6,51.8,83.1,63.7,0.08,2.44
25769,AZUSA 2 3,25770,AZUSA 2 4,1,Closed,TransformerWinding,YES,-77.2,-8.4,77.7,125.4,63.5,0.19,10.37
28945,STANTON 2 1,28946,STANTON 2 2,1,Closed,Transformer,YES,-49.5,-21.5,53.9,87.7,63.5,0.14,3.83
50383,DELTA 2 1,50386,DELTA 2 4,1,Closed,Transformer,YES,-816,152.5,830.1,1307,63.5,0.71,52.43
40383,MESA 8 2,40382,MESA 8 1,1,Closed,Transformer,YES,-673.9,-148.8,690.2,1110.7,63.5,0.81,56.01
21630,SAN JOSE 45 1,21631,SAN JOSE 45 2,1,Closed,Transformer,YES,-55,-23.2,59.7,95.8,63.4,0.08,2.58
30137,LAS VEGAS 23 1,30172,NORTH LAS VEGAS 4 2,1,Closed,Line,NO,-208.3,-28.2,210.2,332.3,63.4,0.75,-1.17
60853,COLORADO SPRINGS 34 2,60852,COLORADO SPRINGS 34 1,1,Closed,Transformer,YES,-557.2,-269.8,619,1024.7,63.4,1,62.84
20455,YUBA CITY 8 1,20456,YUBA CITY 8 2,1,Closed,Transformer,YES,-46.6,-17.4,49.8,83,63.4,0.18,6.54
10893,BURLINGTON 2 2,10892,BURLINGTON 2 1,2,Closed,Transformer,YES,-514.5,-797.3,948.9,1618.3,63.4,1.09,88.94
28993,COACHELLA 3 1,28995,COACHELLA 3 3,1,Closed,Transformer,YES,-45.9,-21.1,50.5,81.7,63.2,0.09,2.4
26233,MOJAVE 16 1,26234,MOJAVE 16 2,1,Closed,Transformer,YES,-110.8,24.1,113.4,179.4,63.2,0.16,4.28
40520,TUCSON 18 1,40522,TUCSON 19 2,1,Closed,Line,NO,-7.8,75.4,75.8,126.8,63.2,0.46,-4.25
53294,FRUITLAND 2 1,53297,FRUITLAND 2 4,1,Closed,Transformer,YES,-814.4,128.7,824.5,1305.2,63.2,0.42,28.89
10894,BURLINGTON 2 3,10893,BURLINGTON 2 2,1,Closed,Transformer,YES,-264.1,-127.1,293.1,483,63.1,0.41,24.72
10662,SPOKANE 17 2,10661,SPOKANE 17 1,1,Closed,Transformer,YES,-264.3,-167.1,312.7,521.1,63.1,0.41,28.12
28861,SAN BERNARDINO 10 2,28860,SAN BERNARDINO 10 1,1,Closed,Transformer,YES,-180.9,-206,274.1,467.6,63.1,0.44,26.95
26095,LONG BEACH 27 2,28023,ANAHEIM 2 1,1,Closed,Line,NO,460.5,793.4,917.4,1454.3,63.1,1.12,7.57
53266,ALBUQUERQUE 30 1,53268,ALBUQUERQUE 30 3,1,Closed,Transformer,YES,-149.2,25.4,151.3,239.9,63.1,0.2,8.73
25490,LOS ANGELES 54 2,25489,LOS ANGELES 54 1,2,Closed,Transformer,YES,-251.7,-265.7,366.1,623.9,63.1,0.55,36.18
25490,LOS ANGELES 54 2,25489,LOS ANGELES 54 1,3,Closed,Transformer,YES,-251.7,-265.7,366.1,623.9,63.1,0.55,36.18
21126,SAN BRUNO 1 1,21143,SAN FRANCISCO 26 1,1,Closed,Line,NO,71,-114.4,134.6,214.2,63.1,0.12,0.54
30418,LAS VEGAS 75 2,30425,LAS VEGAS 76 1,1,Closed,Line,NO,242.6,5.6,242.7,385.2,63,0.25,0.56
20294,BELDEN 1,20295,BELDEN 2,1,Closed,Transformer,YES,-85,-38.6,93.4,153.3,63,0.28,6.63
10808,RICHLAND 4 1,10811,RICHLAND 4 4,1,Closed,Transformer,YES,-1193.6,-161.3,1204.5,1955,63,1.49,135.7
60740,GEORGETOWN 3,60742,GEORGETOWN 5,1,Closed,TransformerWinding,YES,-127.4,5.2,127.6,202.6,63,0.02,1.32
23017,SALINAS 5 2,23016,SALINAS 5 1,1,Closed,Transformer,YES,-284.7,-196.8,346.1,583.2,62.9,0.66,33.63
40064,BUCKEYE 1 1,40996,TONOPAH 5 1,1,Closed,Line,NO,-119.1,-6.5,119.3,191.6,62.9,0.93,3.22
80007,EL PASO 3 2,80006,EL PASO 3 1,1,Closed,Transformer,YES,-111.7,-105.9,153.9,261.1,62.8,0.35,13.68
80007,EL PASO 3 2,80006,EL PASO 3 1,2,Closed,Transformer,YES,-111.7,-105.9,153.9,261.1,62.8,0.35,13.68
28039,ANAHEIM 5 2,28053,FULLERTON 3 1,1,Closed,Line,NO,148.8,90.9,174.4,278.2,62.7,0.22,0.64
53290,LA MESA 6 1,53293,LA MESA 6 4,1,Closed,Transformer,YES,-142.8,6.6,142.9,228.2,62.6,0.16,7.55
11049,VANCOUVER 18 2,11048,VANCOUVER 18 1,2,Closed,Transformer,YES,-210.3,-269.9,342.2,582.3,62.6,0.54,27.3
28993,COACHELLA 3 1,28994,COACHELLA 3 2,1,Closed,Transformer,YES,-45.9,-20.7,50.4,82.6,62.6,0.1,2.81
26037,OXNARD 13 3,26036,OXNARD 13 2,1,Closed,Transformer,YES,-143.1,-204,249.1,435,62.5,0.55,27.07
20539,POLLOCK PINES 6 1,20540,POLLOCK PINES 6 2,1,Closed,Transformer,YES,-61.6,-27.8,67.6,110.6,62.5,0.1,3.27
23350,TURLOCK 4 1,23351,TURLOCK 4 2,1,Closed,Transformer,YES,-49.5,-23,54.6,89.3,62.3,0.09,2.36
25649,LAKEWOOD 8 3,26172,LONG BEACH 28 2,3,Closed,Line,NO,-198.8,-2.9,198.8,319.9,62.3,0.36,1.43
25649,LAKEWOOD 8 3,26172,LONG BEACH 28 2,1,Closed,Line,NO,-198.8,-2.9,198.8,319.9,62.3,0.36,1.43
25649,LAKEWOOD 8 3,26172,LONG BEACH 28 2,2,Closed,Line,NO,-198.8,-2.9,198.8,319.9,62.3,0.36,1.43
25649,LAKEWOOD 8 3,26172,LONG BEACH 28 2,4,Closed,Line,NO,-198.8,-2.9,198.8,319.9,62.3,0.36,1.43
60288,LOVELAND 4 2,60287,LOVELAND 4 1,1,Closed,Transformer,YES,-97.5,-63.7,116.4,200.1,62.3,0.27,13.57
74300,OLDTOWN 1,74301,OLDTOWN 2,1,Closed,Transformer,YES,-9.9,-4.8,11,18.2,62.1,0.02,0.62
40108,SURPRISE 4 2,40107,SURPRISE 4 1,1,Closed,Transformer,YES,-385.9,-526.1,652.5,1130.6,62.1,0.8,59.64
26207,NEWHALL 4 1,26208,NEWHALL 4 2,1,Closed,Transformer,YES,-42.5,-18.4,46.3,77.1,62.1,0.13,3.41
25482,LOS ANGELES 52 2,25481,LOS ANGELES 52 1,1,Closed,Transformer,YES,-326.7,-100.2,341.8,565.3,62,0.43,25.59
40807,QUEEN CREEK 3 1,40808,QUEEN CREEK 3 2,1,Closed,Transformer,YES,-15.3,0.4,15.3,24.7,62,0.02,0.44
60878,FOUNTAIN 5 3,60880,FOUNTAIN 5 5,1,Closed,TransformerWinding,YES,-150.8,-35.2,154.8,250,61.9,-0.02,-0.99
28925,NORTH PALM SPRINGS 4 2,28927,NORTH PALM SPRINGS 4 4,1,Closed,Transformer,YES,-49.6,-22.1,54.3,90.2,61.9,0.13,3.31
60754,COMMERCE CITY 3 3,60756,COMMERCE CITY 3 5,1,Closed,TransformerWinding,YES,-128.9,-9.3,129.2,208.9,61.8,-0.41,-14.43
13303,PORTLAND 33 2,13304,PORTLAND 34 1,3,Closed,Line,NO,168.6,56.2,177.7,287.8,61.8,0.33,-1.55
13303,PORTLAND 33 2,13304,PORTLAND 34 1,2,Closed,Line,NO,168.6,56.2,177.7,287.8,61.8,0.33,-1.55
